Level,Position,Barcode,Rack
1,01,1501101,R - 501
1,02,1501102,R - 501
1,03,1501103,R - 501
1,04,1501104,R - 501
1,05,1501105,R - 501
1,06,1501106,R - 501
1,07,1501107,R - 501
1,08,1501108,R - 501
1,09,1501109,R - 501
1,10,1501110,R - 501
1,11,1501111,R - 501
1,12,1501112,R - 501
1,13,1501113,R - 501
1,14,1501114,R - 501
1,15,1501115,R - 501
1,16,1501116,R - 501
1,17,1501117,R - 501
1,18,1501118,R - 501
1,19,1501119,R - 501
1,20,1501120,R - 501
1,21,1501121,R - 501
1,22,1501122,R - 501
1,23,1501123,R - 501
1,24,1501124,R - 501
1,25,1501125,R - 501
1,26,1501126,R - 501
1,27,1501127,R - 501
1,28,1501128,R - 501
1,29,1501129,R - 501
1,30,1501130,R - 501
1,31,1501131,R - 501
1,32,1501132,R - 501
1,33,1501133,R - 501
1,34,1501134,R - 501
1,35,1501135,R - 501
1,36,1501136,R - 501
1,37,1501137,R - 501
1,38,1501138,R - 501
1,39,1501139,R - 501
1,40,1501140,R - 501
1,41,1501141,R - 501
1,42,1501142,R - 501
1,43,1501143,R - 501
1,44,1501144,R - 501
1,45,1501145,R - 501
1,46,1501146,R - 501
1,47,1501147,R - 501
1,48,1501148,R - 501
1,49,1501149,R - 501
1,50,1501150,R - 501
1,51,1501151,R - 501
1,52,1501152,R - 501
1,53,1501153,R - 501
1,54,1501154,R - 501
1,55,1501155,R - 501
1,56,1501156,R - 501
1,57,1501157,R - 501
1,58,1501158,R - 501
1,59,1501159,R - 501
1,60,1501160,R - 501
1,61,1501161,R - 501
1,62,1501162,R - 501
1,63,1501163,R - 501
1,64,1501164,R - 501
1,65,1501165,R - 501
1,66,1501166,R - 501
2,01,1501201,R - 501
2,02,1501202,R - 501
2,03,1501203,R - 501
2,04,1501204,R - 501
2,05,1501205,R - 501
2,06,1501206,R - 501
2,07,1501207,R - 501
2,08,1501208,R - 501
2,09,1501209,R - 501
2,10,1501210,R - 501
2,11,1501211,R - 501
2,12,1501212,R - 501
2,13,1501213,R - 501
2,14,1501214,R - 501
2,15,1501215,R - 501
2,16,1501216,R - 501
2,17,1501217,R - 501
2,18,1501218,R - 501
2,19,1501219,R - 501
2,20,1501220,R - 501
2,21,1501221,R - 501
2,22,1501222,R - 501
2,23,1501223,R - 501
2,24,1501224,R - 501
2,25,1501225,R - 501
2,26,1501226,R - 501
2,27,1501227,R - 501
2,28,1501228,R - 501
2,29,1501229,R - 501
2,30,1501230,R - 501
2,31,1501231,R - 501
2,32,1501232,R - 501
2,33,1501233,R - 501
2,34,1501234,R - 501
2,35,1501235,R - 501
2,36,1501236,R - 501
2,37,1501237,R - 501
2,38,1501238,R - 501
2,39,1501239,R - 501
2,40,1501240,R - 501
2,41,1501241,R - 501
2,42,1501242,R - 501
2,43,1501243,R - 501
2,44,1501244,R - 501
2,45,1501245,R - 501
2,46,1501246,R - 501
2,47,1501247,R - 501
2,48,1501248,R - 501
2,49,1501249,R - 501
2,50,1501250,R - 501
2,51,1501251,R - 501
2,52,1501252,R - 501
2,53,1501253,R - 501
2,54,1501254,R - 501
2,55,1501255,R - 501
2,56,1501256,R - 501
2,57,1501257,R - 501
2,58,1501258,R - 501
2,59,1501259,R - 501
2,60,1501260,R - 501
2,61,1501261,R - 501
2,62,1501262,R - 501
2,63,1501263,R - 501
2,64,1501264,R - 501
2,65,1501265,R - 501
2,66,1501266,R - 501
3,01,1501301,R - 501
3,02,1501302,R - 501
3,03,1501303,R - 501
3,04,1501304,R - 501
3,05,1501305,R - 501
3,06,1501306,R - 501
3,07,1501307,R - 501
3,08,1501308,R - 501
3,09,1501309,R - 501
3,10,1501310,R - 501
3,11,1501311,R - 501
3,12,1501312,R - 501
3,13,1501313,R - 501
3,14,1501314,R - 501
3,15,1501315,R - 501
3,16,1501316,R - 501
3,17,1501317,R - 501
3,18,1501318,R - 501
3,19,1501319,R - 501
3,20,1501320,R - 501
3,21,1501321,R - 501
3,22,1501322,R - 501
3,23,1501323,R - 501
3,24,1501324,R - 501
3,25,1501325,R - 501
3,26,1501326,R - 501
3,27,1501327,R - 501
3,28,1501328,R - 501
3,29,1501329,R - 501
3,30,1501330,R - 501
3,31,1501331,R - 501
3,32,1501332,R - 501
3,33,1501333,R - 501
3,34,1501334,R - 501
3,35,1501335,R - 501
3,36,1501336,R - 501
3,37,1501337,R - 501
3,38,1501338,R - 501
3,39,1501339,R - 501
3,40,1501340,R - 501
3,41,1501341,R - 501
3,42,1501342,R - 501
3,43,1501343,R - 501
3,44,1501344,R - 501
3,45,1501345,R - 501
3,46,1501346,R - 501
3,47,1501347,R - 501
3,48,1501348,R - 501
3,49,1501349,R - 501
3,50,1501350,R - 501
3,51,1501351,R - 501
3,52,1501352,R - 501
3,53,1501353,R - 501
3,54,1501354,R - 501
3,55,1501355,R - 501
3,56,1501356,R - 501
3,57,1501357,R - 501
3,58,1501358,R - 501
3,59,1501359,R - 501
3,60,1501360,R - 501
3,61,1501361,R - 501
3,62,1501362,R - 501
3,63,1501363,R - 501
3,64,1501364,R - 501
3,65,1501365,R - 501
3,66,1501366,R - 501
4,01,1501401,R - 501
4,02,1501402,R - 501
4,03,1501403,R - 501
4,04,1501404,R - 501
4,05,1501405,R - 501
4,06,1501406,R - 501
4,07,1501407,R - 501
4,08,1501408,R - 501
4,09,1501409,R - 501
4,10,1501410,R - 501
4,11,1501411,R - 501
4,12,1501412,R - 501
4,13,1501413,R - 501
4,14,1501414,R - 501
4,15,1501415,R - 501
4,16,1501416,R - 501
4,17,1501417,R - 501
4,18,1501418,R - 501
4,19,1501419,R - 501
4,20,1501420,R - 501
4,21,1501421,R - 501
4,22,1501422,R - 501
4,23,1501423,R - 501
4,24,1501424,R - 501
4,25,1501425,R - 501
4,26,1501426,R - 501
4,27,1501427,R - 501
4,28,1501428,R - 501
4,29,1501429,R - 501
4,30,1501430,R - 501
4,31,1501431,R - 501
4,32,1501432,R - 501
4,33,1501433,R - 501
4,34,1501434,R - 501
4,35,1501435,R - 501
4,36,1501436,R - 501
4,37,1501437,R - 501
4,38,1501438,R - 501
4,39,1501439,R - 501
4,40,1501440,R - 501
4,41,1501441,R - 501
4,42,1501442,R - 501
4,43,1501443,R - 501
4,44,1501444,R - 501
4,45,1501445,R - 501
4,46,1501446,R - 501
4,47,1501447,R - 501
4,48,1501448,R - 501
4,49,1501449,R - 501
4,50,1501450,R - 501
4,51,1501451,R - 501
4,52,1501452,R - 501
4,53,1501453,R - 501
4,54,1501454,R - 501
4,55,1501455,R - 501
4,56,1501456,R - 501
4,57,1501457,R - 501
4,58,1501458,R - 501
4,59,1501459,R - 501
4,60,1501460,R - 501
4,61,1501461,R - 501
4,62,1501462,R - 501
4,63,1501463,R - 501
4,64,1501464,R - 501
4,65,1501465,R - 501
4,66,1501466,R - 501
1,01,1503101,R - 503
1,02,1503102,R - 503
1,03,1503103,R - 503
1,04,1503104,R - 503
1,05,1503105,R - 503
1,06,1503106,R - 503
1,07,1503107,R - 503
1,08,1503108,R - 503
1,09,1503109,R - 503
1,10,1503110,R - 503
1,11,1503111,R - 503
1,12,1503112,R - 503
1,13,1503113,R - 503
1,14,1503114,R - 503
1,15,1503115,R - 503
1,16,1503116,R - 503
1,17,1503117,R - 503
1,18,1503118,R - 503
1,19,1503119,R - 503
1,20,1503120,R - 503
1,21,1503121,R - 503
1,22,1503122,R - 503
1,23,1503123,R - 503
1,24,1503124,R - 503
1,25,1503125,R - 503
1,26,1503126,R - 503
1,27,1503127,R - 503
1,28,1503128,R - 503
1,29,1503129,R - 503
1,30,1503130,R - 503
1,31,1503131,R - 503
1,32,1503132,R - 503
1,33,1503133,R - 503
1,34,1503134,R - 503
1,35,1503135,R - 503
1,36,1503136,R - 503
1,37,1503137,R - 503
1,38,1503138,R - 503
1,39,1503139,R - 503
1,40,1503140,R - 503
1,41,1503141,R - 503
1,42,1503142,R - 503
1,43,1503143,R - 503
1,44,1503144,R - 503
1,45,1503145,R - 503
1,46,1503146,R - 503
1,47,1503147,R - 503
1,48,1503148,R - 503
1,49,1503149,R - 503
1,50,1503150,R - 503
1,51,1503151,R - 503
1,52,1503152,R - 503
1,53,1503153,R - 503
1,54,1503154,R - 503
1,55,1503155,R - 503
1,56,1503156,R - 503
1,57,1503157,R - 503
1,58,1503158,R - 503
1,59,1503159,R - 503
1,60,1503160,R - 503
1,61,1503161,R - 503
1,62,1503162,R - 503
1,63,1503163,R - 503
1,64,1503164,R - 503
1,65,1503165,R - 503
1,66,1503166,R - 503
2,01,1503201,R - 503
2,02,1503202,R - 503
2,03,1503203,R - 503
2,04,1503204,R - 503
2,05,1503205,R - 503
2,06,1503206,R - 503
2,07,1503207,R - 503
2,08,1503208,R - 503
2,09,1503209,R - 503
2,10,1503210,R - 503
2,11,1503211,R - 503
2,12,1503212,R - 503
2,13,1503213,R - 503
2,14,1503214,R - 503
2,15,1503215,R - 503
2,16,1503216,R - 503
2,17,1503217,R - 503
2,18,1503218,R - 503
2,19,1503219,R - 503
2,20,1503220,R - 503
2,21,1503221,R - 503
2,22,1503222,R - 503
2,23,1503223,R - 503
2,24,1503224,R - 503
2,25,1503225,R - 503
2,26,1503226,R - 503
2,27,1503227,R - 503
2,28,1503228,R - 503
2,29,1503229,R - 503
2,30,1503230,R - 503
2,31,1503231,R - 503
2,32,1503232,R - 503
2,33,1503233,R - 503
2,34,1503234,R - 503
2,35,1503235,R - 503
2,36,1503236,R - 503
2,37,1503237,R - 503
2,38,1503238,R - 503
2,39,1503239,R - 503
2,40,1503240,R - 503
2,41,1503241,R - 503
2,42,1503242,R - 503
2,43,1503243,R - 503
2,44,1503244,R - 503
2,45,1503245,R - 503
2,46,1503246,R - 503
2,47,1503247,R - 503
2,48,1503248,R - 503
2,49,1503249,R - 503
2,50,1503250,R - 503
2,51,1503251,R - 503
2,52,1503252,R - 503
2,53,1503253,R - 503
2,54,1503254,R - 503
2,55,1503255,R - 503
2,56,1503256,R - 503
2,57,1503257,R - 503
2,58,1503258,R - 503
2,59,1503259,R - 503
2,60,1503260,R - 503
2,61,1503261,R - 503
2,62,1503262,R - 503
2,63,1503263,R - 503
2,64,1503264,R - 503
2,65,1503265,R - 503
2,66,1503266,R - 503
3,01,1503301,R - 503
3,02,1503302,R - 503
3,03,1503303,R - 503
3,04,1503304,R - 503
3,05,1503305,R - 503
3,06,1503306,R - 503
3,07,1503307,R - 503
3,08,1503308,R - 503
3,09,1503309,R - 503
3,10,1503310,R - 503
3,11,1503311,R - 503
3,12,1503312,R - 503
3,13,1503313,R - 503
3,14,1503314,R - 503
3,15,1503315,R - 503
3,16,1503316,R - 503
3,17,1503317,R - 503
3,18,1503318,R - 503
3,19,1503319,R - 503
3,20,1503320,R - 503
3,21,1503321,R - 503
3,22,1503322,R - 503
3,23,1503323,R - 503
3,24,1503324,R - 503
3,25,1503325,R - 503
3,26,1503326,R - 503
3,27,1503327,R - 503
3,28,1503328,R - 503
3,29,1503329,R - 503
3,30,1503330,R - 503
3,31,1503331,R - 503
3,32,1503332,R - 503
3,33,1503333,R - 503
3,34,1503334,R - 503
3,35,1503335,R - 503
3,36,1503336,R - 503
3,37,1503337,R - 503
3,38,1503338,R - 503
3,39,1503339,R - 503
3,40,1503340,R - 503
3,41,1503341,R - 503
3,42,1503342,R - 503
3,43,1503343,R - 503
3,44,1503344,R - 503
3,45,1503345,R - 503
3,46,1503346,R - 503
3,47,1503347,R - 503
3,48,1503348,R - 503
3,49,1503349,R - 503
3,50,1503350,R - 503
3,51,1503351,R - 503
3,52,1503352,R - 503
3,53,1503353,R - 503
3,54,1503354,R - 503
3,55,1503355,R - 503
3,56,1503356,R - 503
3,57,1503357,R - 503
3,58,1503358,R - 503
3,59,1503359,R - 503
3,60,1503360,R - 503
3,61,1503361,R - 503
3,62,1503362,R - 503
3,63,1503363,R - 503
3,64,1503364,R - 503
3,65,1503365,R - 503
3,66,1503366,R - 503
4,01,1503401,R - 503
4,02,1503402,R - 503
4,03,1503403,R - 503
4,04,1503404,R - 503
4,05,1503405,R - 503
4,06,1503406,R - 503
4,07,1503407,R - 503
4,08,1503408,R - 503
4,09,1503409,R - 503
4,10,1503410,R - 503
4,11,1503411,R - 503
4,12,1503412,R - 503
4,13,1503413,R - 503
4,14,1503414,R - 503
4,15,1503415,R - 503
4,16,1503416,R - 503
4,17,1503417,R - 503
4,18,1503418,R - 503
4,19,1503419,R - 503
4,20,1503420,R - 503
4,21,1503421,R - 503
4,22,1503422,R - 503
4,23,1503423,R - 503
4,24,1503424,R - 503
4,25,1503425,R - 503
4,26,1503426,R - 503
4,27,1503427,R - 503
4,28,1503428,R - 503
4,29,1503429,R - 503
4,30,1503430,R - 503
4,31,1503431,R - 503
4,32,1503432,R - 503
4,33,1503433,R - 503
4,34,1503434,R - 503
4,35,1503435,R - 503
4,36,1503436,R - 503
4,37,1503437,R - 503
4,38,1503438,R - 503
4,39,1503439,R - 503
4,40,1503440,R - 503
4,41,1503441,R - 503
4,42,1503442,R - 503
4,43,1503443,R - 503
4,44,1503444,R - 503
4,45,1503445,R - 503
4,46,1503446,R - 503
4,47,1503447,R - 503
4,48,1503448,R - 503
4,49,1503449,R - 503
4,50,1503450,R - 503
4,51,1503451,R - 503
4,52,1503452,R - 503
4,53,1503453,R - 503
4,54,1503454,R - 503
4,55,1503455,R - 503
4,56,1503456,R - 503
4,57,1503457,R - 503
4,58,1503458,R - 503
4,59,1503459,R - 503
4,60,1503460,R - 503
4,61,1503461,R - 503
4,62,1503462,R - 503
4,63,1503463,R - 503
4,64,1503464,R - 503
4,65,1503465,R - 503
4,66,1503466,R - 503
1,01,1502101,R - 502
1,02,1502102,R - 502
1,03,1502103,R - 502
1,04,1502104,R - 502
1,05,1502105,R - 502
1,06,1502106,R - 502
1,07,1502107,R - 502
1,08,1502108,R - 502
1,09,1502109,R - 502
1,10,1502110,R - 502
1,11,1502111,R - 502
1,12,1502112,R - 502
1,13,1502113,R - 502
1,14,1502114,R - 502
1,15,1502115,R - 502
1,16,1502116,R - 502
1,17,1502117,R - 502
1,18,1502118,R - 502
1,19,1502119,R - 502
1,20,1502120,R - 502
1,21,1502121,R - 502
2,01,1502201,R - 502
2,02,1502202,R - 502
2,03,1502203,R - 502
2,04,1502204,R - 502
2,05,1502205,R - 502
2,06,1502206,R - 502
2,07,1502207,R - 502
2,08,1502208,R - 502
2,09,1502209,R - 502
2,10,1502210,R - 502
2,11,1502211,R - 502
2,12,1502212,R - 502
2,13,1502213,R - 502
2,14,1502214,R - 502
2,15,1502215,R - 502
2,16,1502216,R - 502
2,17,1502217,R - 502
2,18,1502218,R - 502
2,19,1502219,R - 502
2,20,1502220,R - 502
2,21,1502221,R - 502
3,01,1502301,R - 502
3,02,1502302,R - 502
3,03,1502303,R - 502
3,04,1502304,R - 502
3,05,1502305,R - 502
3,06,1502306,R - 502
3,07,1502307,R - 502
3,08,1502308,R - 502
3,09,1502309,R - 502
3,10,1502310,R - 502
3,11,1502311,R - 502
3,12,1502312,R - 502
3,13,1502313,R - 502
3,14,1502314,R - 502
3,15,1502315,R - 502
3,16,1502316,R - 502
3,17,1502317,R - 502
3,18,1502318,R - 502
3,19,1502319,R - 502
3,20,1502320,R - 502
3,21,1502321,R - 502
4,01,1502401,R - 502
4,02,1502402,R - 502
4,03,1502403,R - 502
4,04,1502404,R - 502
4,05,1502405,R - 502
4,06,1502406,R - 502
4,07,1502407,R - 502
4,08,1502408,R - 502
4,09,1502409,R - 502
4,10,1502410,R - 502
4,11,1502411,R - 502
4,12,1502412,R - 502
4,13,1502413,R - 502
4,14,1502414,R - 502
4,15,1502415,R - 502
4,16,1502416,R - 502
4,17,1502417,R - 502
4,18,1502418,R - 502
4,19,1502419,R - 502
4,20,1502420,R - 502
4,21,1502421,R - 502
